"property","status","value","expected","restored","hiddenExpected","hiddenRestored","captureMs","detail"
"text-decoration-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","11",""
"text-decoration-inset","unsupported","","","","","","",""
"text-decoration-line","preserved","underline","underline","underline","underline","underline","5",""
"text-decoration-skip","preserved","none","none","none","none","none","14",""
"text-decoration-skip-ink","preserved","all","all","all","all","all","14",""
"text-decoration-style","preserved","double","double","double","double","double","7",""
"text-decoration-thickness","preserved","from-font","from-font","from-font","from-font","from-font","13",""
"text-emphasis","preserved","red","none rgb(255, 0, 0)","none rgb(255, 0, 0)","none rgb(255, 0, 0)","none rgb(255, 0, 0)","9",""
"text-emphasis-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","5",""
"text-emphasis-position","preserved","under","under","under","under","under","8",""
"text-emphasis-style","preserved","filled","circle","circle","circle","circle","10",""
"text-fit","unsupported","","","","","","",""
"text-indent","preserved","24px","24px","24px","24px","24px","7",""
"text-justify","unsupported","","","","","","",""
"text-orientation","preserved","upright","upright","upright","upright","upright","10",""
"text-overflow","preserved","ellipsis","ellipsis","ellipsis","ellipsis","ellipsis","7",""
"text-rendering","preserved","geometricPrecision","geometricprecision","geometricprecision","geometricprecision","geometricprecision","10",""
"text-shadow","preserved","2px 2px red","rgb(255, 0, 0) 2px 2px 0px","rgb(255, 0, 0) 2px 2px 0px","rgb(255, 0, 0) 2px 2px 0px","rgb(255, 0, 0) 2px 2px 0px","13",""
"text-size-adjust","unsupported","","","","","","",""
"text-spacing-trim","unsupported","","","","","","",""
"text-transform","preserved","capitalize","capitalize","capitalize","capitalize","capitalize","8",""
"text-underline-offset","preserved","24px","24px","24px","24px","24px","7",""
"text-underline-position","preserved","from-font","from-font","from-font","from-font","from-font","11",""
"text-wrap","untested","","","","","","",""
"text-wrap-mode","preserved","nowrap","nowrap","nowrap","nowrap","nowrap","7",""
"text-wrap-style","preserved","balance","balance","balance","balance","balance","11",""
"timeline-scope","preserved","--pc-example","--pc-example","--pc-example","--pc-example","--pc-example","7",""
"timeline-trigger","unsupported","","","","","","",""
"timeline-trigger-activation-range","unsupported","","","","","","",""
"timeline-trigger-activation-range-end","unsupported","","","","","","",""
"timeline-trigger-activation-range-start","unsupported","","","","","","",""
"timeline-trigger-active-range","unsupported","","","","","","",""
"timeline-trigger-active-range-end","unsupported","","","","","","",""
"timeline-trigger-active-range-start","unsupported","","","","","","",""
"timeline-trigger-name","unsupported","","","","","","",""
"timeline-trigger-source","unsupported","","","","","","",""
"top","preserved","24px","24px","24px","24px","24px","6",""
"touch-action","native","","","","","","",""
"transform","preserved","translate(12px, 4px)","matrix(1, 0, 0, 1, 12, 4)","matrix(1, 0, 0, 1, 12, 4)","matrix(1, 0, 0, 1, 12, 4)","matrix(1, 0, 0, 1, 12, 4)","7",""
"transform-box","preserved","content-box","content-box","content-box","content-box","content-box","11",""
"transform-origin","preserved","left","0px 50px","0px 50px","0px 50px","0px 50px","15",""
"transform-style","preserved","preserve-3d","preserve-3d","preserve-3d","preserve-3d","preserve-3d","17",""
"transition","native","","","","","","",""
"transition-behavior","native","","","","","","",""
"transition-delay","native","","","","","","",""
"transition-duration","native","","","","","","",""
"transition-property","native","","","","","","",""
"transition-timing-function","native","","","","","","",""
"translate","preserved","12px 4px","12px 4px","12px 4px","12px 4px","12px 4px","7",""
"trigger-scope","unsupported","","","","","","",""
"unicode-bidi","preserved","embed","embed","embed","embed","embed","7",""
"user-select","unsupported","","","","","","",""
"vector-effect","preserved","non-scaling-stroke","non-scaling-stroke","non-scaling-stroke","non-scaling-stroke","non-scaling-stroke","10",""
"vertical-align","preserved","sub","sub","sub","sub","sub","12",""
"view-timeline","preserved","--pc-example","--pc-example","--pc-example","--pc-example","--pc-example","8",""
"view-timeline-axis","preserved","inline","inline","inline","inline","inline","15",""
"view-timeline-inset","preserved","24px","24px","24px","24px","24px","12",""
"view-timeline-name","preserved","--pc-example","--pc-example","--pc-example","--pc-example","--pc-example","6",""
"view-transition-class","native","","","","","","",""
"view-transition-name","native","","","","","","",""
"view-transition-scope","unsupported","","","","","","",""
"visibility","preserved","hidden","hidden","hidden","hidden","hidden","10",""
"white-space","preserved","pre","pre","pre","pre","pre","12",""
"white-space-collapse","preserved","preserve","preserve","preserve","preserve","preserve","7",""
"widows","preserved","3","3","3","3","3","11",""
"width","preserved","auto","280px","280px","280px","280px","12",""
"will-change","native","","","","","","",""
"word-break","preserved","break-all","break-all","break-all","break-all","break-all","7",""
"word-spacing","preserved","24px","24px","24px","24px","24px","11",""
"word-wrap","preserved","break-word","break-word","break-word","break-word","break-word","5",""
"writing-mode","preserved","vertical-rl","vertical-rl","vertical-rl","vertical-rl","vertical-rl","7",""
"x","preserved","24px","24px","24px","24px","24px","13",""
"y","preserved","24px","24px","24px","24px","24px","6",""
"z-index","preserved","2","2","2","2","2","7",""
"zoom","preserved","25%","0.25","0.25","0.25","0.25","10",""
